 ==============================================================================
| Branch flow                                                                 |
 ==============================================================================
|Branch  From   To        From Bus Injection              To Bus Injection    |
|  #     Bus    Bus    P (pu)   Q (pu)  loading        P (pu)   Q (pu) loading|
 -----  -----  -----  -------  -------- -------        ------- ------- -------
   1    1011   1013    -3.256   0.692    66.57%         3.370   0.090   67.41%
   2    1012   1014    -2.002   0.499    41.27%         2.062  -0.133   41.32%
   3    1012   1014    -2.002   0.499    41.27%         2.062  -0.133   41.32%
   4    1013   1014    -0.685   0.103    13.85%         0.688  -0.089   13.88%
   5    1013   1014    -0.685   0.103    13.85%         0.688  -0.089   13.88%
   6    1021   1022     2.000   0.095    40.05%        -1.880   0.677   39.96%
   7    1021   1022     2.000   0.095    40.05%        -1.880   0.677   39.96%
   8    1041   1043    -1.600  -0.326    46.66%         1.629   0.489   48.60%
   9    1041   1043    -1.600  -0.326    46.66%         1.629   0.489   48.60%
  10    1041   1045    -1.400   0.098    56.13%         1.432   0.136   57.54%
  11    1041   1045    -1.400   0.098    56.13%         1.432   0.136   57.54%
  12    1042   1044     0.122   0.005     4.88%        -0.121  -0.059    5.40%
  13    1042   1044     0.122   0.005     4.88%        -0.121  -0.059    5.40%
  14    1042   1045     0.356  -0.013    14.25%        -0.350  -0.008   13.99%
  15    1043   1044    -1.879   0.555    55.98%         1.918  -0.263   55.30%
  16    1043   1044    -1.879   0.555    55.98%         1.918  -0.263   55.30%
  17    2031   2032    -2.659   0.504    36.08%         2.750   0.165   36.73%
  18    2031   2032    -2.659   0.504    36.08%         2.750   0.165   36.73%
  19    4011   4012    -5.005   0.630    53.10%         5.030  -0.625   53.36%
  20    4011   4021     7.995   0.279    84.21%        -7.603   1.839   82.34%
  21    4011   4022     5.615  -0.282    59.18%        -5.489   0.359   57.90%
  22    4011   4071    -0.424  -0.649    10.33%         0.424  -0.743   11.41%
  23    4012   4022     7.548  -0.099    79.46%        -7.320   1.060   77.85%
  24    4012   4071     0.425  -0.788    11.94%        -0.424  -0.703   10.95%
  25    4021   4032     3.774  -0.858    51.61%        -3.717   0.222   49.65%
  26    4021   4042     6.329  -1.319    86.20%        -5.928   0.724   79.63%
  27    4022   4031     7.884  -0.336    87.68%        -7.630   1.685   86.82%
  28    4022   4031     7.884  -0.336    87.68%        -7.630   1.685   86.82%
  29    4031   4032     9.267  -1.313    98.52%        -9.180   1.884   98.64%
  30    4031   4041     6.706  -1.286    75.87%        -6.436   0.685   71.91%
  31    4031   4041     6.706  -1.286    91.04%        -6.436   0.685   86.30%
  32    4032   4042     5.743  -1.582    79.42%        -5.414   0.883   73.14%
  33    4032   4044     7.154  -0.524    95.64%        -6.848   0.671   91.75%
  34    4041   4044     6.025  -0.297    80.43%        -5.916   0.492   79.15%
