 ==============================================================================
| Branch flow                                                                 |
 ==============================================================================
|Branch  From   To        From Bus Injection              To Bus Injection    |
|  #     Bus    Bus    P (pu)   Q (pu)  loading        P (pu)   Q (pu) loading|
 -----  -----  -----  -------  -------- -------        ------- ------- -------
   1    1011   1013    -2.103   0.296    42.47%         2.149   0.013   42.98%
   2    1011   1013    -2.103   0.296    42.47%         2.149   0.013   42.98%
   3    1012   1014    -1.556   0.351    31.89%         1.591  -0.139   31.95%
   4    1012   1014    -1.556   0.351    31.89%         1.591  -0.139   31.95%
   5    1013   1014    -1.149   0.191    23.30%         1.159  -0.133   23.32%
   6    1013   1014    -1.149   0.191    23.30%         1.159  -0.133   23.32%
   7    1021   1022     2.000   0.095    40.05%        -1.880   0.677   39.96%
   8    1021   1022     2.000   0.095    40.05%        -1.880   0.677   39.96%
   9    1041   1043    -1.600  -0.326    46.66%         1.629   0.489   48.60%
  10    1041   1043    -1.600  -0.326    46.66%         1.629   0.489   48.60%
  11    1041   1045    -1.400   0.098    56.13%         1.432   0.136   57.54%
  12    1041   1045    -1.400   0.098    56.13%         1.432   0.136   57.54%
  13    1042   1044     0.122   0.005     4.88%        -0.121  -0.059    5.40%
  14    1042   1044     0.122   0.005     4.88%        -0.121  -0.059    5.40%
  15    1042   1045     0.356  -0.013    14.25%        -0.350  -0.008   13.99%
  16    1043   1044    -1.879   0.555    55.98%         1.918  -0.263   55.30%
  17    1043   1044    -1.879   0.555    55.98%         1.918  -0.263   55.30%
  18    2031   2032    -2.659   0.504    36.08%         2.750   0.165   36.73%
  19    2031   2032    -2.659   0.504    36.08%         2.750   0.165   36.73%
  20    4011   4012    -4.272   0.510    45.29%         4.291  -0.561   45.55%
  21    4011   4021     8.018   0.289    84.46%        -7.624   1.853   82.59%
  22    4011   4022     5.682  -0.276    59.88%        -5.552   0.383   58.58%
  23    4011   4071    -0.362  -0.657    10.00%         0.362  -0.737   10.95%
  24    4012   4022     7.458  -0.116    78.51%        -7.235   1.028   76.92%
  25    4012   4071     0.363  -0.783    11.51%        -0.362  -0.710   10.63%
  26    4021   4032     3.788  -0.857    51.78%        -3.730   0.225   49.82%
  27    4021   4042     6.336  -1.317    86.29%        -5.935   0.728   79.72%
